Planning Authority ,Site Code,Site Name,Address,East,North,Site Type,Location of Site,Datazone,lon,lat
Aberdeen City,2021-10,FORMER MULLER WISEMAN DAIRIES,CRAIGSHAW DRIVE ABERDEEN,394470,803330,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.092959691164022,57.120872136643975
Aberdeen City,2021-11,FORMER BRAESIDE SCHOOL,BRAESIDE PLACE ABERDEEN,391130,804160,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006537,-2.148148010359337,57.12827491179744
Aberdeen City,2021-14,FORMER GREYFRIARS HOUSE,GALLOWGATE ABERDEEN,394200,806630,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006647,-2.0974967201137895,57.1505126842113
Aberdeen City,2021-15,FORMER OFFICE COMPLEX WELLHEADS PLACE,WELLHEADS PLACE DYCE ABERDEEN,388730,811700,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006748,-2.1881347635372306,57.195953105332954
Aberdeen City,2021-16,FORMER SCHLUMBERGER PRODUCT CENTRE,WOODLANDS DRIVE ABERDEEN,387210,812690,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006748,-2.2133389890681867,57.2048058911278
Aberdeen City,2021-17,FORMER TYSEAL BASE,CRAIGSHAW CRESCENT ABERDEEN,394450,803590,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0932958702351288,57.123207479345055
Aberdeen City,2021-18,SITE ADJACENT TO HILL OF TRAMAUD,MUNDURNO BRIDGE ABERDEEN,394720,813320,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006788,-2.0890471253306995,57.21061501994724
Aberdeen City,2021-19,LAND AT ANNAN HOUSE,POYNERNOOK ROAD ABERDEEN,394410,805620,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006587,-2.0940028220057827,57.141442511685106
Aberdeen City,2021-2,SILVERBURN PARK,EXHIBITION AVENUE BOD ABERDEEN,395010,810560,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006782,-2.0841896836001665,57.185825467113
Aberdeen City,2021-20,FORMER CORDYCE RESIDENTIAL SCHOOL,RIVERVIEW DRIVE DYCE ABERDEEN,389110,813770,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006750,-2.1819380974581404,57.21455694311164
Aberdeen City,2021-21,HEATH FARM,WHITESTRIPES ROAD DYCE ABERDEEN,390570,812630,Derelict,"Site in settlement with population equal to or over 2,000",S01006762,-2.1577221165283875,57.20434919007692
Aberdeen City,2021-22,HILTON OUTDOOR SPORTS CENTRE,HILTON DRIVE HILTON ABERDEEN,392070,808640,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006687,-2.1327655925517006,57.16853608410927
Aberdeen City,2021-23,MAINS OF DYCE STEADING,OLDMELDRUM ROAD DYCE ABERDEEN,388890,813810,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006755,-2.1855822897703865,57.214910921612066
Aberdeen City,2021-24,FORMER FACTORY GRANITEHILL,GRANITEHILL ROAD NORTHFIELD ABERDEEN,390670,808520,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006724,-2.1559111051691464,57.16743146132632
Aberdeen City,2021-25,LAND AT 4-38 CANAL ROAD,4-38 CANAL ROAD ABERDEEN,393850,807270,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006651,-2.103297493112804,57.15625715493156
Aberdeen City,2021-3,FORMER CHALMERS BAKERY,13-15 AUCHMILL ROAD BUCKSBURN ABERDEEN,389890,809630,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006738,-2.168854123102426,57.177385807391545
Aberdeen City,2021-4,LAND AT FARBURN TERRACE,FARBURN TERRACE DYCE ABERDEEN,388590,812350,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006748,-2.1904815783763967,57.2017884832582
Aberdeen City,2021-5,FORMER OCEANEERING HOUSE AND DAVIDSON HOUSE,PITMEDDEN ROAD DYCE ABERDEEN,388400,813460,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006755,-2.193678462164034,57.21175465522586
Aberdeen City,2021-6,FORMER TRAFALGAR HOUSE,HARENESS ROAD ALTENS ABERDEEN,395160,802880,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0815557384363856,57.11683771991172
Aberdeen City,2021-7,FORMER LAURIES MOTEL SITE,HARENESS ROAD ALTENS ABERDEEN,394770,802870,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006623,-2.0879954993874015,57.11674352303443
Aberdeen City,2021-9,LOIRSTON HOUSE,102 WELLINGTON ROAD NIGG ABERDEEN,394840,802860,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0868393986518274,57.11665450068054
Aberdeen City,2023-1,BAKER HUGHES,WOODSIDE ROAD BOD ABERDEEN,394650,810910,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006782,-2.0901530284746235,57.18896534890704
Aberdeen City,2023-10,VACANT SITE (FORMERLY MORGAN FUELS),5 SOUTH ESPLANADE WEST TORRY ABERDEEN,394520,805260,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006627,-2.0921771527302133,57.138209981290764
Aberdeen City,2023-11,FORMER KIRKHILL BUSINESS PARK,HOWE MOSS DRIVE/HOWE MOSS ROAD DYCE ABERDEEN,387030,812640,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006748,-2.2163157025037026,57.20435164557922
Aberdeen City,2023-12,FORMER HYDRASUN BUILDING,PITTODRIE LANE ABERDEEN,394400,807470,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006670,-2.094210401550652,57.158060924420084
Aberdeen City,2023-2,UNITS 1-4 WOOD INTERNATIONAL CENTRE,CRAIGSHAW DRIVE ALTENS ABERDEEN,394330,803530,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0952763529006004,57.12266700356178
Aberdeen City,2023-3,CRAIGIEVAR HOUSE,HOWE MOSS TERRACE DYCE ABERDEEN,386740,813360,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01006748,-2.2211544089244155,57.21081093188598
Aberdeen City,2023-4,FORMER NIGG CARAVAN PARK,ALTENS FARM ROAD ALTENS ABERDEEN,394900,803080,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0858532233516147,57.11863145392092
Aberdeen City,2023-5,FORMER BROADHILL BAR,30 GOLF ROAD LINKSFIELD ABERDEEN,394920,807570,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006670,-2.0856163007924358,57.15896539911207
Aberdeen City,2023-6,CITYPARK,2 ALTENS FARM ROAD ALTENS ABERDEEN,394880,802940,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0861805653430467,57.11737360102229
Aberdeen City,2023-7,FORMER MILLTIMBER PRIMARY SCHOOL,MONEARN GARDENS MILLTIMBER ABERDEEN,386240,801810,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006516,-2.2287894855620194,57.10704334234212
Aberdeen City,2023-8,PETROFAC TRAINING,BLACKNESS AVENUE ALTENS ABERDEEN,395650,802190,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006619,-2.0734521766169705,57.110644432969714
Aberdeen City,2023-9,FORMER OIL STATES,BLACKNESS ROAD ALTENS ABERDEEN,395680,802510,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.07296254610412,57.11351929981348
Aberdeen City,2024-1,FORMER BT SITE,FROGHALL TERRACE ABERDEEN,393942,807517,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006664,-2.1017828141598214,57.15847719670468
Aberdeen City,2024-2,PETERSEAT DRIVE 1,PETERSEAT DRIVE ALTENS ABERDEEN,395672,803445,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.073111238429484,57.12191836875319
Aberdeen City,2024-3,PETERSEAT DRIVE 2,PETERSEAT DRIVE ALTENS ABERDEEN,396010,803518,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.06753035848581,57.12257727170072
Aberdeen City,2024-4,PETERSEAT DRIVE 3,PETERSEAT DRIVE ALTENS ABERDEEN,396100,803350,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.066041283551614,57.12106891561257
Aberdeen City,2024-5,BEACH LEISURE CENTRE/SWIMMING POOL,BEACH ESPLANADE ABERDEEN,395235,807220,Derelict,"Site in settlement with population equal to or over 2,000",S01006666,-2.0804020264416603,57.15582480951942
Aberdeen City,2024-6,FORMER PRESS AND JOURNAL OFFICES,LANG STRACHT KINGSWELLS ABERDEEN,390391,806787,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006703,-2.160456907573553,57.151858174553
Aberdeen City,2024-7,FORMER SHELL BUILDING,1 ALTENS FARM ROAD ALTENS ABERDEEN,394823,803128,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006623,-2.0871257822086644,57.11906176032416
Aberdeen City,2024-8,MUIRFIELD HOUSE,WHITEMYRES AVENUE KINGSWELLS ABERDEEN,390259,806923,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006703,-2.1626440132667697,57.15307704454462
Aberdeen City,2024-9,FORMER STONEYWOOD PAPERMILL,STONEYWOOD TERRACE STONEYWOOD ABERDEEN,389731,810839,Derelict,"Site in settlement with population equal to or over 2,000",S01006743,-2.1715343221242853,57.18824258398881
Aberdeen City,6427L17023,RUBISLAW QUARRY,QUEENS ROAD/HILL OF RUBISLAW ABERDEEN,391100,805450,Derelict,"Site in settlement with population equal to or over 2,000",S01006549,-2.148690072073011,57.139862391227744
Aberdeen City,9619,ABBEY ROAD NORTH,TORRY ABERDEEN,395391,805259,Derelict,"Site in settlement with population equal to or over 2,000",S01006631,-2.0777862336794426,57.13821077597417
Aberdeenshire,ABERCHIRDER1,FORMER SHOWROOM AND YARD,SOUTH STREET ABERCHIRDER,362454,852223,Vacant Land and Buildings,"Site in settlement with population under 2,000",S01007031,-2.629136730350538,57.558531347236666
Aberdeenshire,ALF1,FORMER ALFORD ACADEMY,SCHOOL ROAD ALFORD,357444,815791,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006885,-2.706531548233741,57.230855523131886
Aberdeenshire,AUCHGT1,FORMER STATION YARD,AUCHNAGGAT,392978,841955,Derelict,"Site in settlement with population under 2,000",S01007062,-2.118713913676018,57.46781120172655
Aberdeenshire,BANC1,GLEN O'DEE HOSPITAL,GLEN O'DEE HOSPITAL BANCHORY,368522,796706,Derelict,"Site in settlement with population equal to or over 2,000",S01006872,-2.5206330233090988,57.060320106220736
Aberdeenshire,BANC2,HILL OF BANCHORY,HILL OF BANCHORY BANCHORY,371399,796976,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006861,-2.473230519728385,57.06293367722394
Aberdeenshire,BANC3,FORMER NURSES HOME,GLEN O'DEE BANCHORY,368478,796579,Derelict,"Site in settlement with population equal to or over 2,000",S01006872,-2.521342453234709,57.05917627757604
Aberdeenshire,BANFF2,FORMER CHICKEN FACTORY,TANNERY STREET BANFF,368299,864076,Derelict,"Site in settlement with population equal to or over 2,000",S01007033,-2.5330154817950574,57.66544339413493
Aberdeenshire,BFRA/V/018,ADJ WATERMILL BAR,WATERMILL FRASERBURGH,398038,866599,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007108,-2.0345708447082074,57.68922452539505
Aberdeenshire,BINV/D/142,"SOUTH OF ALLOCHY ROAD, FORMER AIRFIELD",ALLOCHY ROAD INVERALLOCHY,404373,864729,Vacant Land,"Site in settlement with population under 2,000",S01007104,-1.9283515462332648,57.6724123865296
Aberdeenshire,BMIN/D/178,MINTLAW STATION,A950 MINTLAW,398938,848461,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007059,-2.0193877174124624,57.52630596956405
Aberdeenshire,BOD 1,RAF BUCHAN,RAF BUCHAN BODDAM,412875,842069,Vacant Land,"Site in settlement with population under 2,000",S01007069,-1.7870109105349465,57.468711926447966
Aberdeenshire,BOD 3,RAF BUCHAN,RAF BUCHAN BODDAM,413162,842287,Vacant Land,"Site in settlement with population under 2,000",S01007069,-1.782214694371468,57.470661946582034
Aberdeenshire,BOD2,FORMER BUCHANESS HOTEL,BRAE STREET BODDAM,413373,842467,Vacant Land,"Site in settlement with population under 2,000",S01007069,-1.7786871606590358,57.47227267638578
Aberdeenshire,BPHA/D/293,LONMAY,PUMPING STATION MILLHILL TREATMENT WORKS LONMAY,404355,858797,Derelict,Site in countryside,S01007102,-1.9287573856340325,57.61912963465887
Aberdeenshire,BPHD/D/060,COBLE SHORE,NEAR PRISON PETERHEAD,413064,844338,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007073,-1.7837398440715102,57.48908779307461
Aberdeenshire,BPHD/V/033,WELLBANK,RING ROAD PETERHEAD,410979,844223,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007097,-1.8185234613808066,57.48810955606858
Aberdeenshire,BRAE2,FORMER DAIRY BUILDING,INVERCAULD GARDENS BRAEMAR,315332,791535,Derelict,"Site in settlement with population under 2,000",S01006793,-3.395671716158993,57.00716848298498
Aberdeenshire,BRAE3,FORMER BRAEMAR LODGE HOTEL,GLENSHEE ROAD BRAEMAR,315253,791245,Vacant Land,"Site in settlement with population under 2,000",S01006793,-3.3968743571325835,57.004549618961796
Aberdeenshire,CRIMOND1,FORMER RAF HOSPITAL CAMP,MOSS SIDE CRIMOND,405573,855952,Derelict,Site in countryside,S01007102,-1.908432218900445,57.59356179226725
Aberdeenshire,CRU1,BRICK AND TILE WORKS,CRUDEN BAY CRUDEN BAY,408842,836885,Derelict,"Site in settlement with population under 2,000",S01007066,-1.8544301269682875,57.422241861999375
Aberdeenshire,DRUMOAK1,FORMER DRUMOAK SCHOOL,SUNNYSIDE DRIVE DRUMOAK,379310,799341,Vacant Land,"Site in settlement with population under 2,000",S01006855,-2.342985996361383,57.084603355244475
Aberdeenshire,DRUMOAK2,FORMER IRVINE ARMS,NORTH DEESIDE ROAD DRUMOAK,379218,798805,Vacant Land,"Site in settlement with population under 2,000",S01006854,-2.344459163672611,57.07978433401391
Aberdeenshire,DRUMOAK3,SITE ADJ KINCLUNY,OFF SOUTH DEESIDE ROAD PARK DRUMOAK,380134,797687,Derelict,Site in countryside,S01006855,-2.329259766118882,57.06978202592704
Aberdeenshire,EDZ1,FORMER EDZELL AIRBASE,EDZELL,363072,768871,Vacant Land and Buildings,"Site in settlement with population under 2,000",S01006807,-2.6064136808835534,56.80987788860455
Aberdeenshire,ELL8,FORMER PETROL STATION,SOUTH ROAD ELLON,395900,830059,Derelict,"Site in settlement with population equal to or over 2,000",S01006962,-2.0697977656117446,57.360990523240865
Aberdeenshire,ELL9a,FORMER ELLON ACADEMY SITE (NEW BUILDING),SCHOOLHILL ELLON,395803,830574,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006959,-2.0714191429477857,57.36561570156948
Aberdeenshire,FA/D057,FORMER AIRFIELD CAMP,CAMP OFF B9033 FRASERBURGH,402484,864382,Derelict,Site in countryside,S01007104,-1.960023104239324,57.669309446195506
Aberdeenshire,FOVERAN1,MILL OF FOVERAN,FOVERAN,397578,823983,Derelict,Site in countryside,S01006973,-2.0418431290163457,57.30642383746257
Aberdeenshire,FRAS 3,OPP CEMETERY,SOUTH HARBOUR ROAD FRASERBURGH,400053,865701,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007127,-2.000774485661327,57.68116326411343
Aberdeenshire,FRAS5,FORMER ALEXANDRA HOTEL,HIGH STREET FRASERBURGH,399508,867203,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007127,-2.0099171253784336,57.6946541731686
Aberdeenshire,FRAS6,FAIRNEY HILL BUSINESS PARK,WEST SHORE ROAD FRASERBURGH,398491,867212,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007108,-2.026977136969087,57.69473249244604
Aberdeenshire,FRAS7,FORMER POULTRY SHEDS,WEST SHORE ROAD FRASERBURGH,398672,867292,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007108,-2.0239413743961654,57.69545168698453
Aberdeenshire,FRAS8,FORMER RECYCLING CENTRE,WESTSHORE ROAD FRASERBURGH,398576,867281,Derelict,"Site in settlement with population equal to or over 2,000",S01007108,-2.0255517183482072,57.69535256447194
Aberdeenshire,FRAS9,CROSS STREET,FRASERBURGH,399659,866939,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007121,-2.0073836341941194,57.69228304406236
Aberdeenshire,HATT1,FORMER CHURCH,MAIN STREET HATTON OF CRUDEN,404840,837231,Vacant Land and Buildings,"Site in settlement with population under 2,000",S01007071,-1.9210567513891865,57.425409054047186
Aberdeenshire,HUN15,SOUTH OF STEVEN ROAD,HUNTLY INDUSTRIAL ESTATE STEVEN ROAD HUNTLY,352108,839482,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007002,-2.7995182832651935,57.44311664231706
Aberdeenshire,HUN2,CENTRAL AUCTION MART/RAILWAY SIDINGS,ABERDEEN ROAD HUNTLY,353482,839492,Derelict,"Site in settlement with population equal to or over 2,000",S01007009,-2.7766321608533344,57.44334958530669
Aberdeenshire,INSC1,FORMER GARAGES AND COUNCIL DEPOT,COMMERCE STREET INSCH,363030,827900,Derelict,"Site in settlement with population equal to or over 2,000",S01007001,-2.6158268773590594,57.340108499461515
Aberdeenshire,INVERBOY 1,A98 INVERBOYNDIE,SITE ON A98 INVERBOYNDIE,366734,864325,Vacant Land and Buildings,"Site in settlement with population under 2,000",S01007028,-2.559280111870986,57.667566605120456
Aberdeenshire,INVERUR2,FORMER HARLAW CENTRE,HARLAW ROAD INVERURIE,376955,822437,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006895,-2.383986721577239,57.291956509616824
Aberdeenshire,INVERUR3,FORMER MATHERS FACTORY,HARLAW ROAD INVERURIE,376841,822525,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006895,-2.385886347290523,57.29274118524547
Aberdeenshire,INVERUR4,FORMER BLYTHEWOOD CARE HOME,ELPHINSTONE ROAD PORT ELPHINSTONE INVERURIE,377534,820229,Derelict,"Site in settlement with population equal to or over 2,000",S01006903,-2.374179242767206,57.27215186106813
Aberdeenshire,INVERUR7,FORMER STRATHBURN COTTAGE,MIDDLEMUIR ROAD INVERURIE,376820,821764,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006896,-2.3861631108475545,57.28590435657239
Aberdeenshire,INVERUR8,HIGHCLERE BUSINESS PARK,INVERURIE,375770,821486,Vacant Land,"Site in settlement with population equal to or over 2,000",S01006912,-2.4035531675595,57.28335246936587
Aberdeenshire,KINCARD1,FORMER J & M STRANGS FILLING STATION,NORTH DEESIDE ROAD KINCARDINE O' NEIL,358935,799676,Vacant Land,"Site in settlement with population under 2,000",S01006869,-2.6791775054401104,57.08624132022946
Aberdeenshire,KINT 4,FORMER TORRYBURN HOTEL,GAUCHILL ROAD KINTORE,379045,815646,Derelict,"Site in settlement with population equal to or over 2,000",S01006916,-2.3487346521811134,57.231056309539795
Aberdeenshire,KINT 5,BRIGEND STEADING,NORTHERN RD KINTORE,378925,816756,Derelict,"Site in settlement with population equal to or over 2,000",S01006920,-2.3508170027955826,57.24102158343559
Aberdeenshire,LKIRK2,FORMER MEARNS ACADEMY SITE,ABERDEEN ROAD LAURENCEKIRK,372036,771707,Derelict,"Site in settlement with population equal to or over 2,000",S01006801,-2.4599225383692636,56.835981429511655
Aberdeenshire,MACD2,TARLAIR BUSINESS PARK,TARLAIR WAY MACDUFF,371670,864177,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007040,-2.4765270800047583,57.666576075981745
Aberdeenshire,MACD3,FORMER FILLING STATION,BUCHAN ST MACDUFF,371095,864560,Vacant Land,"Site in settlement with population equal to or over 2,000",S01007039,-2.486210835480184,57.669979476279536
